question,answer
学部生でまだ研究室に配属されていませんが参加できますか？,大歓迎です！気象に興味・関心があれば、ぜひご参加ください！今後の進路や勉強、研究のことなどを相談できる貴重な機会になるはずです！
発表は必須ですか？,発表は任意です！ですが、他大学の方からアドバイスをいただいたり、興味のある分野の仲間を見つけたりできる良い機会ですので、発表することをお勧めします！内容はご自身の研究発表に限らず、論文のレビューや自己紹介（興味のある分野の紹介など）でも構いません。
高校生以下も参加できますか？,申し訳ありません。今年は高校生以下の参加はご遠慮いただいております。大学学部生以上の方がご参加いただけます。
参加申し込みはいつですか？,参加申し込みの受付を開始しています！締切は7月20日（月）12:00 JSTです。申込者多数の場合は、締切前に受付を終了することがあります。詳細は参加申し込みページをご確認ください。
部分参加（例えば2日間参加）は可能ですか？,可能です！ですが、会場までの移動手段は各自でご用意いただきます。
参加申込時に発表タイトルと要旨は必要ですか？,参加申込時には必要ありません！参加登録後に改めてご連絡いたします。なお、参加申し込み時には発表時間、発表分野、仮の発表タイトルを入力していただきます。
参加のキャンセルはできますか？,参加自体のキャンセルは可能です。ですが、参加費の返金はできません。キャンセルの際は、必ず事前にご連絡ください。
車での参加は可能ですか？,可能です。ですが、駐車場の台数に限りがあるため、参加申込時にご記入ください。
食事は用意されていますか？,1日目の夕食、2日目の朝食・昼食・夕食、3日目の朝食は、宿泊施設でご用意いただきます。アレルギーなどで召し上がれないものがある方は、参加申込時にご記入ください。なお、1日目の昼食はご用意がありませんので、事前に済ませてからお越しください。
飲み会の参加は必須ですか？,飲み会の参加は任意です。また、未成年の飲酒を防ぐため、未成年者かどうかわかるように工夫いたします。
部屋割りについて希望を出すことはできますか？,配慮が必要なケースでは、ご本人の事情に応じてできる限り調整いたします。配慮が必要な事項がございましたら、備考欄にご記入ください。
